Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
mRNA vaccine activation of dendritic cell and induction of IFN-1	0	10	13	0.00%	-0.32	0.082
Non-homologous end joining	0	10	11	0.00%	-0.32	0.066
PtdIns(4,5)P2 in cytokinesis pathway	0	10	18	0.00%	-0.32	0.415
Steroid biosynthesis	0	10	25	0.00%	-0.32	0.887
Trans-sulfuration pathway	0	10	25	0.00%	-0.32	0.883
Vitamin B12 disorders	0	10	36	0.00%	-0.32	0.999
Alanine and aspartate metabolism	0	11	66	0.00%	-0.33	0.999
Autosomal recessive osteopetrosis pathways	0	11	14	0.00%	-0.33	0.084
Biomarkers for urea cycle disorders	0	11	51	0.00%	-0.33	0.999
Bone morphogenic protein signaling and regulation	0	11	13	0.00%	-0.33	0.081
Inclusion body myositis	0	11	28	0.00%	-0.33	0.919
Methionine metabolism leading to sulfur amino acids and related disorders	0	11	46	0.00%	-0.33	0.999
Nucleotide GPCRs	0	11	15	0.00%	-0.33	0.105
RalA downstream regulated genes	0	11	13	0.00%	-0.33	0.057
Somatic sex determination	0	11	15	0.00%	-0.33	0.111
Vitamin D metabolism	0	11	22	0.00%	-0.33	0.600
Vitamin K metabolism and activation of dependent proteins	0	11	34	0.00%	-0.33	0.993
Aerobic glycolysis	0	12	35	0.00%	-0.35	0.985
Disorders of folate metabolism and transport	0	12	46	0.00%	-0.35	0.999
Disorders of fructose metabolism	0	12	47	0.00%	-0.35	0.999
EDA signaling in hair follicle development	0	12	15	0.00%	-0.35	0.095
Glycolysis in senescence	0	12	26	0.00%	-0.35	0.736
GPR40 pathway	0	12	20	0.00%	-0.35	0.291
Homologous recombination	0	12	14	0.00%	-0.35	0.077
Irinotecan pathway	0	12	18	0.00%	-0.35	0.156
Leukotriene metabolic pathway	0	12	51	0.00%	-0.35	0.999
Mevalonate arm of cholesterol biosynthesis pathway	0	12	56	0.00%	-0.35	0.999
Mitochondrial complex III assembly	0	12	19	0.00%	-0.35	0.242
Modulation of PI3K-Akt-mTOR signaling by bioactive sphingolipids	0	12	25	0.00%	-0.35	0.677
Nitric oxide metabolism in cystic fibrosis	0	12	25	0.00%	-0.35	0.701
Purine metabolism	0	12	94	0.00%	-0.35	0.999
Resolvin E1 and resolvin D1 signaling pathways promoting inflammation resolution	0	12	22	0.00%	-0.35	0.449
Retinol metabolism	0	12	38	0.00%	-0.35	0.993
Serotonin and anxiety-related events	0	12	16	0.00%	-0.35	0.106
Valproic acid pathway	0	12	36	0.00%	-0.35	0.981
2q21.1 copy number variation syndrome	0	13	53	0.00%	-0.36	0.999
Biomarkers for pyrimidine metabolism disorders	0	13	88	0.00%	-0.36	0.999
BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation	0	13	16	0.00%	-0.36	0.089
Cell-type dependent selectivity of CCK2R signaling	0	13	26	0.00%	-0.36	0.626
Cell differentiation - index	0	13	61	0.00%	-0.36	0.999
Development of pulmonary dendritic cells and macrophage subsets	0	13	14	0.00%	-0.36	0.089
Disorders of galactose metabolism 	0	13	37	0.00%	-0.36	0.986
Dopamine metabolism	0	13	48	0.00%	-0.36	0.999
Familial hyperlipidemia type 2	0	13	36	0.00%	-0.36	0.975
Familial hyperlipidemia type 3	0	13	24	0.00%	-0.36	0.464
Familial hyperlipidemia type 5	0	13	28	0.00%	-0.36	0.741
H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity	0	13	17	0.00%	-0.36	0.093
Mammary gland development pathway - Puberty (Stage 2 of 4)	0	13	15	0.00%	-0.36	0.087
Omega-9 fatty acid synthesis	0	13	44	0.00%	-0.36	0.998
Osteopontin signaling	0	13	14	0.00%	-0.36	0.068
OSX and miRNAs in tooth development	0	13	39	0.00%	-0.36	0.997
Proteoglycan biosynthesis	0	13	36	0.00%	-0.36	0.981
Transcriptional cascade regulating adipogenesis	0	13	14	0.00%	-0.36	0.087
Breast cancer pathway	1	143	167	0.70%	-0.37	0.603
15q13.3 copy number variation syndrome	0	14	40	0.00%	-0.38	0.987
Cancer immunotherapy by CTLA4 blockade	0	14	21	0.00%	-0.38	0.173
Codeine and morphine metabolism	0	14	25	0.00%	-0.38	0.418
Fatty acid omega-oxidation	0	14	20	0.00%	-0.38	0.138
Interactome of polycomb repressive complex 2 (PRC2) 	0	14	17	0.00%	-0.38	0.084
Kennedy pathway from sphingolipids	0	14	35	0.00%	-0.38	0.942
Major receptors targeted by epinephrine and norepinephrine	0	14	34	0.00%	-0.38	0.905
miR-509-3p alteration of YAP1/ECM axis	0	14	19	0.00%	-0.38	0.118
NOTCH1 regulation of endothelial cell calcification	0	14	18	0.00%	-0.38	0.096
Osteoblast signaling	0	14	18	0.00%	-0.38	0.114
Regulation of sister chromatid separation at the metaphase-anaphase transition	0	14	16	0.00%	-0.38	0.096
Riboflavin and CoQ disorders	0	14	59	0.00%	-0.38	0.999
Sulfation biotransformation reaction	0	14	29	0.00%	-0.38	0.712
Transcriptional activation by NRF2 in response to phytochemicals	0	14	20	0.00%	-0.38	0.150
Airway smooth muscle cell contraction	0	15	25	0.00%	-0.39	0.301
Alternative pathway of fetal androgen synthesis	0	15	48	0.00%	-0.39	0.997
Biogenic amine synthesis	0	15	33	0.00%	-0.39	0.816
Cholesterol biosynthesis pathway	0	15	32	0.00%	-0.39	0.771
Cysteine and methionine catabolism	0	15	74	0.00%	-0.39	0.999
Drug induction of bile acid pathway	0	15	45	0.00%	-0.39	0.996
ERK pathway in Huntington's disease	0	15	17	0.00%	-0.39	0.090
Familial  hyperlipidemia type 1	0	15	35	0.00%	-0.39	0.869
Ganglio sphingolipid metabolism	0	15	56	0.00%	-0.39	0.999
GPCRs, class B secretin-like	0	15	24	0.00%	-0.39	0.250
GPCRs, class C metabotropic glutamate, pheromone	0	15	15	0.00%	-0.39	0.061
Omega-3 / omega-6 fatty acid synthesis	0	15	55	0.00%	-0.39	0.998
Pathways of nucleic acid metabolism and innate immune sensing	0	15	39	0.00%	-0.39	0.972
Pyrimidine metabolism and related diseases	0	15	97	0.00%	-0.39	0.999
Transcription co-factors SKI and SKIL protein partners	0	15	19	0.00%	-0.39	0.123
Canonical and non-canonical TGF-B signaling	0	16	18	0.00%	-0.40	0.082
Congenital generalized lipodystrophy	0	16	31	0.00%	-0.40	0.591
Degradation pathway of sphingolipids, including diseases	0	16	47	0.00%	-0.40	0.996
Estrogen metabolism	0	16	45	0.00%	-0.40	0.987
Farnesoid X receptor pathway	0	16	21	0.00%	-0.40	0.117
Fatty acid transporters	0	16	28	0.00%	-0.40	0.396
Genes associated with the development of rheumatoid arthritis	0	16	22	0.00%	-0.40	0.119
ID signaling pathway	0	16	17	0.00%	-0.40	0.094
Interactions between LOXL4 and oxidative stress pathway	0	16	19	0.00%	-0.40	0.112
Metabolism of spingolipids in ER and Golgi apparatus	0	16	72	0.00%	-0.40	0.999
miRNAs involved in DNA damage response	0	16	70	0.00%	-0.40	0.999
nsp1 from SARS-CoV-2 inhibits translation initiation in the host cell	0	16	21	0.00%	-0.40	0.107
Osteoclast signaling	0	16	21	0.00%	-0.40	0.123
Regulation of Wnt / B-catenin signaling by small molecule compounds	0	16	33	0.00%	-0.40	0.691
Serotonin and anxiety	0	16	22	0.00%	-0.40	0.116
SREBF and miR33 in cholesterol and lipid homeostasis	0	16	19	0.00%	-0.40	0.090
TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc)	0	16	37	0.00%	-0.40	0.878
ACE inhibitor pathway	0	17	29	0.00%	-0.42	0.371
Amplification and expansion of oncogenic pathways as metastatic traits	0	17	18	0.00%	-0.42	0.105
Cori cycle	0	17	53	0.00%	-0.42	0.999
Glycosaminoglycan degradation	0	17	45	0.00%	-0.42	0.978
Host-pathogen interaction of human coronaviruses - autophagy	0	17	23	0.00%	-0.42	0.125
IL-9 signaling pathway	0	17	18	0.00%	-0.42	0.091
Leptin-insulin signaling overlap	0	17	20	0.00%	-0.42	0.123
MAP3K1 role in promoting and blocking gonadal determination	0	17	18	0.00%	-0.42	0.097
Mitochondrial long chain fatty acid beta-oxidation	0	17	24	0.00%	-0.42	0.152
Synthesis of ceramides and 1-deoxyceramides	0	17	50	0.00%	-0.42	0.996
TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition	0	17	20	0.00%	-0.42	0.106
Triacylglyceride synthesis	0	17	37	0.00%	-0.42	0.833
4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression	0	18	31	0.00%	-0.43	0.360
Cholestasis	0	18	35	0.00%	-0.43	0.610
Cholesterol synthesis disorders	0	18	53	0.00%	-0.43	0.997
Disorders of bile acid synthesis and biliary transport	0	18	112	0.00%	-0.43	0.946
Familial hyperlipidemia type 4	0	18	36	0.00%	-0.43	0.675
Glutathione metabolism	0	18	57	0.00%	-0.43	0.999
Glycerolipids and glycerophospholipids	0	18	52	0.00%	-0.43	0.992
Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells	0	18	19	0.00%	-0.43	0.100
Metabolic pathway of LDL, HDL and TG, including diseases	0	18	34	0.00%	-0.43	0.547
Mitochondrial gene expression	0	18	23	0.00%	-0.43	0.115
Nicotine effect on dopaminergic neurons	0	18	31	0.00%	-0.43	0.354
Small ligand GPCRs	0	18	25	0.00%	-0.43	0.153
Sphingolipid metabolism: integrated pathway	0	18	100	0.00%	-0.43	0.994
Sphingolipid metabolism overview	0	18	55	0.00%	-0.43	0.999
TCA cycle (aka Krebs or citric acid cycle)	0	18	49	0.00%	-0.43	0.989
Vitamin D receptor pathway	1	152	188	0.66%	-0.44	0.600
Apoptosis modulation by HSP70	0	19	22	0.00%	-0.44	0.111
Cell differentiation - expanded index	0	19	69	0.00%	-0.44	0.999
Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism	0	19	73	0.00%	-0.44	0.999
FOXA2 pathway	0	19	23	0.00%	-0.44	0.129
Intraflagellar transport proteins binding to dynein	0	19	28	0.00%	-0.44	0.183
Kallmann syndrome	0	19	41	0.00%	-0.44	0.812
Methionine de novo and salvage pathway	0	19	73	0.00%	-0.44	0.999
TP53 network	0	19	23	0.00%	-0.44	0.123
Urea cycle and metabolism of amino groups	0	19	71	0.00%	-0.44	0.999
FGF23 signaling in hypophosphatemic rickets and related disorders	0	20	28	0.00%	-0.45	0.177
Hematopoietic stem cell gene regulation by GABP alpha/beta complex	0	20	26	0.00%	-0.45	0.146
Leucine, isoleucine and valine metabolism	0	20	123	0.00%	-0.45	0.759
Nanomaterial induced apoptosis	0	20	31	0.00%	-0.45	0.233
Purine metabolism and related disorders	0	20	139	0.00%	-0.45	0.653
Serotonin receptor 2 and ELK-SRF/GATA4 signaling	0	20	24	0.00%	-0.45	0.134
Tamoxifen metabolism	0	20	37	0.00%	-0.45	0.529
Complement activation	0	21	24	0.00%	-0.46	0.124
Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome	0	21	30	0.00%	-0.46	0.148
Fatty acid biosynthesis	0	21	43	0.00%	-0.46	0.756
Gastric cancer network 1	0	21	30	0.00%	-0.46	0.149
Imatinib and chronic myeloid leukemia	0	21	25	0.00%	-0.46	0.128
miRNA regulation of p53 pathway in prostate cancer	0	21	37	0.00%	-0.46	0.401
miRNA targets in ECM and membrane receptors	0	21	46	0.00%	-0.46	0.855
Nanoparticle triggered autophagic cell death	0	21	30	0.00%	-0.46	0.187
NRF2-ARE regulation	0	21	24	0.00%	-0.46	0.134
Differentiation of white and brown adipocyte	0	22	26	0.00%	-0.47	0.136
DNA mismatch repair	0	22	25	0.00%	-0.47	0.124
GDNF/RET signaling axis	0	22	24	0.00%	-0.47	0.131
Glucuronidation	0	22	41	0.00%	-0.47	0.534
Glycosylation and related congenital defects	0	22	73	0.00%	-0.47	0.999
Mammalian disorder of sexual development	0	22	29	0.00%	-0.47	0.159
Mitochondrial complex IV assembly	0	22	40	0.00%	-0.47	0.493
MTHFR deficiency	0	22	60	0.00%	-0.47	0.993
PI3K/AKT/mTOR - vitamin D3 signaling	0	22	34	0.00%	-0.47	0.234
PKC-gamma calcium signaling pathway in ataxia	0	22	29	0.00%	-0.47	0.152
1q21.1 copy number variation syndrome	0	23	58	0.00%	-0.48	0.986
7-oxo-C and 7-beta-HC pathways	0	23	60	0.00%	-0.48	0.990
Alstrom syndrome	0	23	34	0.00%	-0.48	0.219
Glycerophospholipid biosynthetic pathway	0	23	108	0.00%	-0.48	0.917
Hypothesized pathways in pathogenesis of cardiovascular disease	0	23	27	0.00%	-0.48	0.131
Immune response to tuberculosis	0	23	24	0.00%	-0.48	0.133
PPAR-alpha pathway	0	23	28	0.00%	-0.48	0.163
Progeria-associated lipodystrophy	0	23	36	0.00%	-0.48	0.238
Sphingolipid pathway	0	23	63	0.00%	-0.48	0.996
Urea cycle and associated pathways	0	23	81	0.00%	-0.48	0.999
Angiogenesis	0	24	25	0.00%	-0.49	0.133
Canonical and non-canonical Notch signaling	0	24	31	0.00%	-0.49	0.167
Intracellular trafficking proteins involved in CMT neuropathy	0	24	28	0.00%	-0.49	0.158
S1P receptor signal transduction	0	24	26	0.00%	-0.49	0.134
Wnt/beta-catenin signaling pathway in leukemia	0	24	29	0.00%	-0.49	0.119
Zinc homeostasis	0	24	39	0.00%	-0.49	0.301
Ras signaling	1	162	192	0.62%	-0.50	0.656
Gastric cancer network 2	0	25	33	0.00%	-0.51	0.156
IL-7 signaling pathway	0	25	26	0.00%	-0.51	0.118
Thyroxine (thyroid hormone) production	0	25	39	0.00%	-0.51	0.240
Angiotensin II receptor type 1 pathway	0	26	37	0.00%	-0.52	0.198
Cohesin complex - Cornelia de Lange syndrome	0	26	37	0.00%	-0.52	0.203
EPO receptor signaling	0	26	27	0.00%	-0.52	0.139
Follicle stimulating hormone (FSH) signaling pathway	0	26	28	0.00%	-0.52	0.135
Hippocampal synaptogenesis and neurogenesis	0	26	41	0.00%	-0.52	0.240
One-carbon metabolism	0	26	58	0.00%	-0.52	0.920
Statin inhibition of cholesterol production	0	26	50	0.00%	-0.52	0.622
Autophagy	0	27	33	0.00%	-0.53	0.148
Cannabinoid receptor signaling	0	27	54	0.00%	-0.53	0.748
FGFR3 signaling in chondrocyte proliferation and terminal differentiation	0	27	29	0.00%	-0.53	0.133
Genetic causes of PSVD/INCPH	0	27	61	0.00%	-0.53	0.935
IL-17 signaling pathway	0	27	33	0.00%	-0.53	0.154
Leukocyte-intrinsic Hippo pathway functions	0	27	37	0.00%	-0.53	0.209
Lipid metabolism pathway	0	27	43	0.00%	-0.53	0.279
Sphingolipid metabolism in senescence	0	27	49	0.00%	-0.53	0.481
Tumor suppressor activity of SMARCB1	0	27	35	0.00%	-0.53	0.173
16p11.2 distal deletion syndrome	0	28	46	0.00%	-0.53	0.333
Eicosanoid metabolism via lipooxygenases (LOX)	0	28	70	0.00%	-0.53	0.987
Ethanol effects on histone modifications	0	28	53	0.00%	-0.53	0.627
Histone modifications	0	28	68	0.00%	-0.53	0.981
Mitochondrial immune response to SARS-CoV-2	0	28	63	0.00%	-0.53	0.939
Nanoparticle-mediated activation of receptor signaling	0	28	36	0.00%	-0.53	0.196
PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	0	28	33	0.00%	-0.53	0.176
Toll-like receptor signaling related to MyD88	0	28	32	0.00%	-0.53	0.175
Base excision repair	0	29	32	0.00%	-0.54	0.167
Constitutive androstane receptor pathway	0	29	34	0.00%	-0.54	0.178
Disruption of postsynaptic signaling by CNV	0	29	35	0.00%	-0.54	0.172
Extracellular vesicle-mediated signaling in recipient cells	0	29	31	0.00%	-0.54	0.143
Regucalcin in proximal tubule epithelial kidney cells	0	29	68	0.00%	-0.54	0.950
Type I collagen synthesis in the context of osteogenesis imperfecta	0	29	36	0.00%	-0.54	0.189
Type I interferon induction and signaling during SARS-CoV-2 infection	0	29	45	0.00%	-0.54	0.271
CAMKK2 pathway	0	30	143	0.00%	-0.55	0.660
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling	0	30	43	0.00%	-0.55	0.212
GABA receptor signaling	0	30	57	0.00%	-0.55	0.655
Hair follicle development: organogenesis - part 2 of 3	0	30	36	0.00%	-0.55	0.182
Target of rapamycin signaling	0	30	40	0.00%	-0.55	0.182
Tryptophan metabolism	0	30	123	0.00%	-0.55	0.660
Endothelin pathways	0	31	48	0.00%	-0.56	0.255
Familial partial lipodystrophy	0	31	44	0.00%	-0.56	0.238
Fluoropyrimidine activity	0	31	58	0.00%	-0.56	0.586
Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)	0	31	42	0.00%	-0.56	0.197
Pregnane X receptor pathway	0	31	35	0.00%	-0.56	0.195
Prion disease pathway	0	31	36	0.00%	-0.56	0.191
Purinergic signaling	0	31	96	0.00%	-0.56	0.953
SARS coronavirus and innate immunity	0	31	33	0.00%	-0.56	0.153
Type 2 papillary renal cell carcinoma	0	31	41	0.00%	-0.56	0.204
White fat cell differentiation	0	31	35	0.00%	-0.56	0.194
BDNF-TrkB signaling	0	32	38	0.00%	-0.57	0.204
Hedgehog signaling pathway	0	32	44	0.00%	-0.57	0.258
Monoamine GPCRs	0	32	43	0.00%	-0.57	0.198
Nuclear receptors in lipid metabolism and toxicity	0	32	48	0.00%	-0.57	0.255
Oxidative stress response	0	32	35	0.00%	-0.57	0.162
Alpha 6 beta 4 signaling pathway	0	33	34	0.00%	-0.58	0.167
Fatty acid beta-oxidation	0	33	71	0.00%	-0.58	0.911
Oxidative phosphorylation	0	33	68	0.00%	-0.58	0.838
Parkinson's disease pathway	0	33	84	0.00%	-0.58	0.991
Serotonin HTR1 group and FOS pathway	0	33	39	0.00%	-0.58	0.190
Vitamin A and carotenoid metabolism	0	33	65	0.00%	-0.58	0.748
Vitamin D-sensitive calcium signaling in depression	0	33	55	0.00%	-0.58	0.339
Wnt signaling in kidney disease	0	33	39	0.00%	-0.58	0.179
G13 signaling pathway	0	34	39	0.00%	-0.59	0.188
p38 MAPK signaling pathway	0	34	36	0.00%	-0.59	0.194
GPR143 in melanocytes and retinal pigment epithelium cells	0	35	51	0.00%	-0.60	0.254
Influence of laminopathies on Wnt signaling	0	35	45	0.00%	-0.60	0.217
Melatonin metabolism and effects	0	35	64	0.00%	-0.60	0.536
mBDNF and proBDNF regulation of GABA neurotransmission	0	36	40	0.00%	-0.61	0.220
Neovascularisation processes	0	36	42	0.00%	-0.61	0.227
Kisspeptin/kisspeptin receptor system in the ovary	0	38	49	0.00%	-0.62	0.241
Microglia pathogen phagocytosis pathway	0	38	44	0.00%	-0.62	0.226
Striated muscle contraction pathway	0	38	39	0.00%	-0.62	0.185
Eukaryotic transcription initiation	0	39	42	0.00%	-0.63	0.180
Mitochondrial complex I assembly model OXPHOS system	0	39	61	0.00%	-0.63	0.292
Notch signaling	0	39	48	0.00%	-0.63	0.220
ATM signaling in development and disease 	0	40	49	0.00%	-0.64	0.248
Bladder cancer	0	40	47	0.00%	-0.64	0.228
Heart development	0	40	48	0.00%	-0.64	0.226
Metabolic reprogramming in colon cancer	0	40	80	0.00%	-0.64	0.799
Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway	0	40	77	0.00%	-0.64	0.718
Renin-angiotensin-aldosterone system (RAAS)	0	40	57	0.00%	-0.64	0.258
Common pathways underlying drug addiction	0	41	50	0.00%	-0.65	0.239
Envelope proteins and their potential roles in EDMD physiopathology	0	41	47	0.00%	-0.65	0.220
Glycogen synthesis and degradation	0	41	54	0.00%	-0.65	0.268
Metabolic reprogramming in pancreatic cancer	0	41	107	0.00%	-0.65	0.732
Nephrotic syndrome	0	41	49	0.00%	-0.65	0.218
DNA replication	0	42	50	0.00%	-0.66	0.246
Genes controlling nephrogenesis	0	42	45	0.00%	-0.66	0.238
Microtubule cytoskeleton regulation	0	42	47	0.00%	-0.66	0.245
Nucleotide excision repair	0	42	44	0.00%	-0.66	0.196
Splicing factor NOVA regulated synaptic proteins	0	42	44	0.00%	-0.66	0.215
Focal adhesion	1	188	201	0.53%	-0.66	0.613
Cardiac progenitor differentiation	0	43	56	0.00%	-0.66	0.281
Integrated cancer pathway	0	43	50	0.00%	-0.66	0.247
Interleukin-11 signaling pathway	0	43	45	0.00%	-0.66	0.235
Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms	0	43	47	0.00%	-0.66	0.237
Phosphoinositides metabolism	0	43	89	0.00%	-0.66	0.822
Energy metabolism	0	44	49	0.00%	-0.67	0.231
Glycolysis and gluconeogenesis	0	44	69	0.00%	-0.67	0.361
Synaptic signaling pathways associated with autism spectrum disorder	0	44	55	0.00%	-0.67	0.258
Synaptic vesicle pathway	0	45	59	0.00%	-0.68	0.281
Translation inhibitors in chronically activated PDGFRA cells	0	45	49	0.00%	-0.68	0.224
Cholesterol metabolism with Bloch and Kandutsch-Russell pathways	0	46	97	0.00%	-0.69	0.719
One-carbon metabolism and related pathways	0	46	94	0.00%	-0.69	0.708
Phosphodiesterases in neuronal function	0	46	66	0.00%	-0.69	0.339
Exercise-induced circadian regulation	0	47	49	0.00%	-0.69	0.252
Proximal tubule transport	0	49	86	0.00%	-0.71	0.443
Translation factors	0	49	51	0.00%	-0.71	0.232
Wnt signaling pathway	0	49	52	0.00%	-0.71	0.258
TYROBP causal network in microglia	0	50	61	0.00%	-0.72	0.301
NRP1-triggered signaling pathways in pancreatic cancer 	0	51	59	0.00%	-0.72	0.261
DYRK1A	0	52	66	0.00%	-0.73	0.296
Interferon type I signaling pathways	0	52	57	0.00%	-0.73	0.277
Neurogenesis regulation in the olfactory epithelium	0	52	72	0.00%	-0.73	0.320
Nucleotide excision repair in xeroderma pigmentosum 	0	52	62	0.00%	-0.73	0.283
DNA IR-double strand breaks and cellular response via ATM	0	53	65	0.00%	-0.74	0.305
Pathogenic Escherichia coli infection	0	53	79	0.00%	-0.74	0.332
Development of ureteric collection system	0	54	63	0.00%	-0.74	0.324
Notch signaling pathway	0	54	62	0.00%	-0.74	0.295
Oxidation by cytochrome P450	0	54	75	0.00%	-0.74	0.328
Overlap between signal transduction pathways contributing to LMNA laminopathies	0	55	73	0.00%	-0.75	0.330
Bardet-Biedl syndrome	0	56	96	0.00%	-0.76	0.240
Pathways affected in adenoid cystic carcinoma	0	56	72	0.00%	-0.76	0.324
Complement and coagulation cascades	0	57	63	0.00%	-0.76	0.282
Joubert syndrome	0	58	87	0.00%	-0.77	0.207
Kit receptor signaling pathway	0	59	60	0.00%	-0.78	0.277
Ferroptosis	0	60	106	0.00%	-0.78	0.249
Endochondral ossification with skeletal dysplasias	0	61	69	0.00%	-0.79	0.320
Endochondral ossification	0	61	69	0.00%	-0.79	0.320
Endometrial cancer	0	61	77	0.00%	-0.79	0.313
DNA damage response	0	62	78	0.00%	-0.80	0.279
PPAR signaling pathway	0	63	76	0.00%	-0.80	0.299
G1 to S cell cycle control	0	64	68	0.00%	-0.81	0.295
Genes related to primary cilium development (based on CRISPR)	0	64	104	0.00%	-0.81	0.161
Prader-Willi and Angelman syndrome	0	64	93	0.00%	-0.81	0.138
16p11.2 proximal deletion syndrome	0	65	152	0.00%	-0.82	0.619
Sterol regulatory element-binding proteins (SREBP) signaling	0	65	77	0.00%	-0.82	0.298
Melanoma	0	66	78	0.00%	-0.82	0.271
miRNA regulation of DNA damage response	0	66	106	0.00%	-0.82	0.130
Parkin-ubiquitin proteasomal system pathway	0	66	75	0.00%	-0.82	0.311
Trans-sulfuration, one-carbon metabolism and related pathways	0	66	132	0.00%	-0.82	0.527
Electron transport chain: OXPHOS system in mitochondria	0	67	119	0.00%	-0.83	0.246
MECP2 and associated Rett syndrome	0	67	114	0.00%	-0.83	0.204
Head and neck squamous cell carcinoma	0	68	81	0.00%	-0.83	0.234
Arrhythmogenic right ventricular cardiomyopathy	0	69	81	0.00%	-0.84	0.222
Non-small cell lung cancer	0	70	88	0.00%	-0.85	0.143
Primary focal segmental glomerulosclerosis (FSGS)	0	70	77	0.00%	-0.85	0.229
Pyrimidine metabolism	0	71	140	0.00%	-0.85	0.517
Regulatory circuits of the STAT3 signaling pathway	0	71	79	0.00%	-0.85	0.219
Peptide GPCRs	0	74	79	0.00%	-0.87	0.210
DNA IR-damage and cellular response via ATR	0	75	90	0.00%	-0.88	0.105
Amino acid metabolism	0	78	205	0.00%	-0.89	0.484
7q11.23 copy number variation syndrome	0	81	149	0.00%	-0.91	0.385
Glioblastoma signaling pathways	0	82	88	0.00%	-0.92	0.127
Retinoblastoma gene in cancer	0	84	98	0.00%	-0.93	0.099
G protein signaling pathways	0	86	97	0.00%	-0.94	0.079
Pancreatic adenocarcinoma pathway	0	86	97	0.00%	-0.94	0.093
Cytoplasmic ribosomal proteins	0	87	89	0.00%	-0.95	0.108
Neural crest differentiation	0	87	102	0.00%	-0.95	0.115
Thyroid hormones production and peripheral downstream signaling effects	0	87	134	0.00%	-0.95	0.184
Hippo signaling regulation pathways	0	93	104	0.00%	-0.98	0.126
Integrin-mediated cell adhesion	0	94	102	0.00%	-0.98	0.104
Thermogenesis	0	97	140	0.00%	-1.00	0.170
Ciliopathies	0	103	184	0.00%	-1.03	0.219
22q11.2 copy number variation syndrome	0	106	225	0.00%	-1.04	0.406
DNA repair pathways, full network	0	107	125	0.00%	-1.05	0.162
Osteoblast differentiation and related diseases	0	107	119	0.00%	-1.05	0.148
Cell cycle	0	112	124	0.00%	-1.07	0.148
Fragile X syndrome	0	112	133	0.00%	-1.07	0.198
mRNA processing	0	117	130	0.00%	-1.10	0.174
Focal adhesion: PI3K-Akt-mTOR-signaling pathway	1	282	305	0.35%	-1.11	0.305
Endoderm differentiation	0	121	147	0.00%	-1.12	0.189
Mesodermal commitment pathway	0	122	154	0.00%	-1.12	0.199
Ectoderm differentiation	0	123	145	0.00%	-1.13	0.193
Angiopoietin-like protein 8 regulatory pathway	0	126	155	0.00%	-1.14	0.183
Ebola virus infection in host	0	127	141	0.00%	-1.14	0.193
Calcium regulation in cardiac cells	0	136	167	0.00%	-1.18	0.134
Regulation of actin cytoskeleton	0	139	160	0.00%	-1.20	0.142
Epithelial to mesenchymal transition in colorectal cancer	0	141	163	0.00%	-1.21	0.105
Metapathway biotransformation Phase I and II	0	148	191	0.00%	-1.24	0.085
PI3K-Akt signaling pathway	1	314	359	0.32%	-1.24	0.263
Ciliary landscape	0	178	215	0.00%	-1.36	0.108
Amino acid conjugation	0	0	7	NaN%	NaN	0.000
Biochemical pathways: part I	0	0	471	NaN%	NaN	0.000
Blood clotting and drug effects	0	0	16	NaN%	NaN	0.000
Farnesyl to CoQ10 metabolism	0	0	13	NaN%	NaN	0.000
Liver steatosis adverse outcome pathway	0	0	46	NaN%	NaN	0.000
Metabolism overview	0	0	116	NaN%	NaN	0.000
Meta pathway lipodystrophy, dyslipidemia and hyperlipidemia	0	0	13	NaN%	NaN	0.000
Mitochondrial complex I inhibition leading to chemical-induced Fanconi syndrome	0	0	21	NaN%	NaN	0.000
Modified nucleosides derived from tRNA as urinary cancer markers	0	0	21	NaN%	NaN	0.000
Ophthalmate biosynthesis in hepatocytes	0	0	10	NaN%	NaN	0.000
Phosphatidylcholine catabolism	0	0	32	NaN%	NaN	0.000
Role of carnosine in muscle contraction	0	0	14	NaN%	NaN	0.000
