Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Homologous recombination	0	12	14	0.00%	-0.34	0.066
IL-10 anti-inflammatory signaling pathway 	0	12	19	0.00%	-0.34	0.217
Irinotecan pathway	0	12	18	0.00%	-0.34	0.163
Leukotriene metabolic pathway	0	12	51	0.00%	-0.34	0.999
MAPK and NFkB signaling pathways inhibited by Yersinia YopJ	0	12	13	0.00%	-0.34	0.061
Mevalonate arm of cholesterol biosynthesis pathway	0	12	56	0.00%	-0.34	0.999
Mitochondrial complex III assembly	0	12	19	0.00%	-0.34	0.229
Modulation of PI3K-Akt-mTOR signaling by bioactive sphingolipids	0	12	25	0.00%	-0.34	0.650
Nitric oxide metabolism in cystic fibrosis	0	12	25	0.00%	-0.34	0.674
Purine metabolism	0	12	94	0.00%	-0.34	0.999
Resolvin E1 and resolvin D1 signaling pathways promoting inflammation resolution	0	12	22	0.00%	-0.34	0.446
Retinol metabolism	0	12	38	0.00%	-0.34	0.994
Valproic acid pathway	0	12	36	0.00%	-0.34	0.992
2q21.1 copy number variation syndrome	0	13	53	0.00%	-0.35	0.999
Biomarkers for pyrimidine metabolism disorders	0	13	88	0.00%	-0.35	0.999
BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation	0	13	16	0.00%	-0.35	0.076
Cell-type dependent selectivity of CCK2R signaling	0	13	26	0.00%	-0.35	0.636
Cell differentiation - index	0	13	61	0.00%	-0.35	0.999
Control of immune tolerance by vasoactive intestinal peptide	0	13	16	0.00%	-0.35	0.079
Development of pulmonary dendritic cells and macrophage subsets	0	13	14	0.00%	-0.35	0.082
Disorders of galactose metabolism 	0	13	37	0.00%	-0.35	0.984
Dopamine metabolism	0	13	48	0.00%	-0.35	0.999
Familial hyperlipidemia type 2	0	13	36	0.00%	-0.35	0.964
Familial hyperlipidemia type 3	0	13	24	0.00%	-0.35	0.455
Familial hyperlipidemia type 5	0	13	28	0.00%	-0.35	0.730
Genes targeted by miRNAs in adipocytes	0	13	19	0.00%	-0.35	0.147
H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity	0	13	17	0.00%	-0.35	0.088
Mammary gland development pathway - Puberty (Stage 2 of 4)	0	13	15	0.00%	-0.35	0.079
MFAP5-mediated ovarian cancer cell motility and invasiveness	0	13	18	0.00%	-0.35	0.123
Omega-9 fatty acid synthesis	0	13	44	0.00%	-0.35	0.998
Osteopontin signaling	0	13	14	0.00%	-0.35	0.074
OSX and miRNAs in tooth development	0	13	39	0.00%	-0.35	0.993
Proteoglycan biosynthesis	0	13	36	0.00%	-0.35	0.979
Transcriptional cascade regulating adipogenesis	0	13	14	0.00%	-0.35	0.072
15q13.3 copy number variation syndrome	0	14	40	0.00%	-0.36	0.986
Cancer immunotherapy by CTLA4 blockade	0	14	21	0.00%	-0.36	0.165
Codeine and morphine metabolism	0	14	25	0.00%	-0.36	0.415
Fatty acid omega-oxidation	0	14	20	0.00%	-0.36	0.136
Interactome of polycomb repressive complex 2 (PRC2) 	0	14	17	0.00%	-0.36	0.090
Kennedy pathway from sphingolipids	0	14	35	0.00%	-0.36	0.933
Major receptors targeted by epinephrine and norepinephrine	0	14	34	0.00%	-0.36	0.923
Mammary gland development pathway - Embryonic development (Stage 1 of 4)	0	14	21	0.00%	-0.36	0.156
miR-509-3p alteration of YAP1/ECM axis	0	14	19	0.00%	-0.36	0.103
ncRNAs involved in STAT3 signaling in hepatocellular carcinoma	0	14	19	0.00%	-0.36	0.101
NOTCH1 regulation of endothelial cell calcification	0	14	18	0.00%	-0.36	0.095
Osteoblast signaling	0	14	18	0.00%	-0.36	0.102
Pro-survival signaling of neuroprotectin D1	0	14	22	0.00%	-0.36	0.231
Regulation of sister chromatid separation at the metaphase-anaphase transition	0	14	16	0.00%	-0.36	0.076
Riboflavin and CoQ disorders	0	14	59	0.00%	-0.36	0.999
Sulfation biotransformation reaction	0	14	29	0.00%	-0.36	0.698
Transcriptional activation by NRF2 in response to phytochemicals	0	14	20	0.00%	-0.36	0.132
Airway smooth muscle cell contraction	0	15	25	0.00%	-0.38	0.268
Alternative pathway of fetal androgen synthesis	0	15	48	0.00%	-0.38	0.998
Biogenic amine synthesis	0	15	33	0.00%	-0.38	0.807
Cholesterol biosynthesis pathway	0	15	32	0.00%	-0.38	0.782
Cysteine and methionine catabolism	0	15	74	0.00%	-0.38	0.999
Drug induction of bile acid pathway	0	15	45	0.00%	-0.38	0.996
ERK pathway in Huntington's disease	0	15	17	0.00%	-0.38	0.096
Familial  hyperlipidemia type 1	0	15	35	0.00%	-0.38	0.880
Ganglio sphingolipid metabolism	0	15	56	0.00%	-0.38	0.999
GPCRs, class B secretin-like	0	15	24	0.00%	-0.38	0.252
GPCRs, class C metabotropic glutamate, pheromone	0	15	15	0.00%	-0.38	0.068
MYD88 distinct input-output pathway	0	15	20	0.00%	-0.38	0.110
Omega-3 / omega-6 fatty acid synthesis	0	15	55	0.00%	-0.38	0.999
Pathways of nucleic acid metabolism and innate immune sensing	0	15	39	0.00%	-0.38	0.967
Pyrimidine metabolism and related diseases	0	15	97	0.00%	-0.38	0.999
Transcription co-factors SKI and SKIL protein partners	0	15	19	0.00%	-0.38	0.104
Canonical and non-canonical TGF-B signaling	0	16	18	0.00%	-0.39	0.090
Congenital generalized lipodystrophy	0	16	31	0.00%	-0.39	0.596
Degradation pathway of sphingolipids, including diseases	0	16	47	0.00%	-0.39	0.995
Estrogen metabolism	0	16	45	0.00%	-0.39	0.992
Farnesoid X receptor pathway	0	16	21	0.00%	-0.39	0.110
Fatty acid transporters	0	16	28	0.00%	-0.39	0.381
FOXP3 in COVID-19	0	16	19	0.00%	-0.39	0.097
Genes associated with the development of rheumatoid arthritis	0	16	22	0.00%	-0.39	0.120
ID signaling pathway	0	16	17	0.00%	-0.39	0.075
Interactions between LOXL4 and oxidative stress pathway	0	16	19	0.00%	-0.39	0.083
Metabolism of spingolipids in ER and Golgi apparatus	0	16	72	0.00%	-0.39	0.999
nsp1 from SARS-CoV-2 inhibits translation initiation in the host cell	0	16	21	0.00%	-0.39	0.124
Osteoclast signaling	0	16	21	0.00%	-0.39	0.096
Regulation of Wnt / B-catenin signaling by small molecule compounds	0	16	33	0.00%	-0.39	0.724
SREBF and miR33 in cholesterol and lipid homeostasis	0	16	19	0.00%	-0.39	0.084
TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc)	0	16	37	0.00%	-0.39	0.900
Insulin signaling	1	159	162	0.63%	-0.40	0.645
ACE inhibitor pathway	0	17	29	0.00%	-0.40	0.330
Amplification and expansion of oncogenic pathways as metastatic traits	0	17	18	0.00%	-0.40	0.091
Cori cycle	0	17	53	0.00%	-0.40	0.998
Glycosaminoglycan degradation	0	17	45	0.00%	-0.40	0.992
Host-pathogen interaction of human coronaviruses - autophagy	0	17	23	0.00%	-0.40	0.145
IL-9 signaling pathway	0	17	18	0.00%	-0.40	0.096
Leptin-insulin signaling overlap	0	17	20	0.00%	-0.40	0.098
MAP3K1 role in promoting and blocking gonadal determination	0	17	18	0.00%	-0.40	0.104
Mitochondrial long chain fatty acid beta-oxidation	0	17	24	0.00%	-0.40	0.131
Synthesis of ceramides and 1-deoxyceramides	0	17	50	0.00%	-0.40	0.996
TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition	0	17	20	0.00%	-0.40	0.105
Triacylglyceride synthesis	0	17	37	0.00%	-0.40	0.822
4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression	0	18	31	0.00%	-0.41	0.365
Cholestasis	0	18	35	0.00%	-0.41	0.617
Cholesterol synthesis disorders	0	18	53	0.00%	-0.41	0.999
Disorders of bile acid synthesis and biliary transport	0	18	112	0.00%	-0.41	0.991
Familial hyperlipidemia type 4	0	18	36	0.00%	-0.41	0.678
Glutathione metabolism	0	18	57	0.00%	-0.41	0.999
Glycerolipids and glycerophospholipids	0	18	52	0.00%	-0.41	0.997
Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells	0	18	19	0.00%	-0.41	0.082
Metabolic pathway of LDL, HDL and TG, including diseases	0	18	34	0.00%	-0.41	0.528
MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement	0	18	20	0.00%	-0.41	0.103
Mitochondrial gene expression	0	18	23	0.00%	-0.41	0.112
Nicotine effect on dopaminergic neurons	0	18	31	0.00%	-0.41	0.365
Small ligand GPCRs	0	18	25	0.00%	-0.41	0.131
Sphingolipid metabolism: integrated pathway	0	18	100	0.00%	-0.41	0.999
Sphingolipid metabolism overview	0	18	55	0.00%	-0.41	0.998
TCA cycle (aka Krebs or citric acid cycle)	0	18	49	0.00%	-0.41	0.993
Apoptosis modulation by HSP70	0	19	22	0.00%	-0.42	0.105
BMP signaling in eyelid development	0	19	23	0.00%	-0.42	0.097
Cell differentiation - expanded index	0	19	69	0.00%	-0.42	0.999
Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism	0	19	73	0.00%	-0.42	0.999
Extracellular vesicles in the crosstalk of cardiac cells	0	19	30	0.00%	-0.42	0.235
FOXA2 pathway	0	19	23	0.00%	-0.42	0.123
Intraflagellar transport proteins binding to dynein	0	19	28	0.00%	-0.42	0.164
Kallmann syndrome	0	19	41	0.00%	-0.42	0.811
Methionine de novo and salvage pathway	0	19	73	0.00%	-0.42	0.999
Serotonin receptor 4/6/7 and NR3C signaling	0	19	22	0.00%	-0.42	0.122
Type II diabetes mellitus	0	19	28	0.00%	-0.42	0.162
Urea cycle and metabolism of amino groups	0	19	71	0.00%	-0.42	0.999
Hematopoietic stem cell gene regulation by GABP alpha/beta complex	0	20	26	0.00%	-0.43	0.131
Hippo-Yap signaling pathway	0	20	24	0.00%	-0.43	0.108
Leucine, isoleucine and valine metabolism	0	20	123	0.00%	-0.43	0.920
Nanomaterial induced apoptosis	0	20	31	0.00%	-0.43	0.205
Purine metabolism and related disorders	0	20	139	0.00%	-0.43	0.728
Serotonin receptor 2 and ELK-SRF/GATA4 signaling	0	20	24	0.00%	-0.43	0.088
Tamoxifen metabolism	0	20	37	0.00%	-0.43	0.528
Cancer immunotherapy by PD-1 blockade	0	21	35	0.00%	-0.44	0.314
Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome	0	21	30	0.00%	-0.44	0.146
Fatty acid biosynthesis	0	21	43	0.00%	-0.44	0.750
Gastric cancer network 1	0	21	30	0.00%	-0.44	0.171
Host-pathogen interaction of human coronaviruses - apoptosis	0	21	34	0.00%	-0.44	0.276
Imatinib and chronic myeloid leukemia	0	21	25	0.00%	-0.44	0.106
miRNA regulation of p53 pathway in prostate cancer	0	21	37	0.00%	-0.44	0.422
miRNA targets in ECM and membrane receptors	0	21	46	0.00%	-0.44	0.855
Nanoparticle triggered autophagic cell death	0	21	30	0.00%	-0.44	0.163
NRF2-ARE regulation	0	21	24	0.00%	-0.44	0.114
Roles of ceramides in the development of insulin resistance	0	21	35	0.00%	-0.44	0.299
Differentiation of white and brown adipocyte	0	22	26	0.00%	-0.45	0.130
DNA mismatch repair	0	22	25	0.00%	-0.45	0.141
Dravet syndrome	0	22	31	0.00%	-0.45	0.141
GDNF/RET signaling axis	0	22	24	0.00%	-0.45	0.117
Glucuronidation	0	22	41	0.00%	-0.45	0.563
Glycosylation and related congenital defects	0	22	73	0.00%	-0.45	0.999
Mammalian disorder of sexual development	0	22	29	0.00%	-0.45	0.158
Mitochondrial complex IV assembly	0	22	40	0.00%	-0.45	0.472
MTHFR deficiency	0	22	60	0.00%	-0.45	0.995
PKC-gamma calcium signaling pathway in ataxia	0	22	29	0.00%	-0.45	0.134
SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction	0	22	49	0.00%	-0.45	0.887
Transcription factor regulation in adipogenesis	0	22	24	0.00%	-0.45	0.111
Ulcerative colitis signaling	0	22	28	0.00%	-0.45	0.118
1q21.1 copy number variation syndrome	0	23	58	0.00%	-0.47	0.987
7-oxo-C and 7-beta-HC pathways	0	23	60	0.00%	-0.47	0.994
Alstrom syndrome	0	23	34	0.00%	-0.47	0.208
Glycerophospholipid biosynthetic pathway	0	23	108	0.00%	-0.47	0.991
Hypothesized pathways in pathogenesis of cardiovascular disease	0	23	27	0.00%	-0.47	0.143
Immune response to tuberculosis	0	23	24	0.00%	-0.47	0.109
PPAR-alpha pathway	0	23	28	0.00%	-0.47	0.126
Progeria-associated lipodystrophy	0	23	36	0.00%	-0.47	0.230
Sphingolipid pathway	0	23	63	0.00%	-0.47	0.996
Urea cycle and associated pathways	0	23	81	0.00%	-0.47	0.999
Angiogenesis	0	24	25	0.00%	-0.48	0.110
Canonical and non-canonical Notch signaling	0	24	31	0.00%	-0.48	0.155
Intracellular trafficking proteins involved in CMT neuropathy	0	24	28	0.00%	-0.48	0.138
S1P receptor signal transduction	0	24	26	0.00%	-0.48	0.123
Wnt/beta-catenin signaling pathway in leukemia	0	24	29	0.00%	-0.48	0.151
Zinc homeostasis	0	24	39	0.00%	-0.48	0.278
Gastric cancer network 2	0	25	33	0.00%	-0.48	0.162
IL-7 signaling pathway	0	25	26	0.00%	-0.48	0.116
Thyroxine (thyroid hormone) production	0	25	39	0.00%	-0.48	0.226
Angiotensin II receptor type 1 pathway	0	26	37	0.00%	-0.49	0.200
Cohesin complex - Cornelia de Lange syndrome	0	26	37	0.00%	-0.49	0.216
EPO receptor signaling	0	26	27	0.00%	-0.49	0.132
Follicle stimulating hormone (FSH) signaling pathway	0	26	28	0.00%	-0.49	0.130
Hippocampal synaptogenesis and neurogenesis	0	26	41	0.00%	-0.49	0.235
One-carbon metabolism	0	26	58	0.00%	-0.49	0.910
Statin inhibition of cholesterol production	0	26	50	0.00%	-0.49	0.621
Autophagy	0	27	33	0.00%	-0.50	0.144
Cannabinoid receptor signaling	0	27	54	0.00%	-0.50	0.756
Genetic causes of PSVD/INCPH	0	27	61	0.00%	-0.50	0.936
IL-17 signaling pathway	0	27	33	0.00%	-0.50	0.143
Leukocyte-intrinsic Hippo pathway functions	0	27	37	0.00%	-0.50	0.184
Lipid metabolism pathway	0	27	43	0.00%	-0.50	0.258
Tumor suppressor activity of SMARCB1	0	27	35	0.00%	-0.50	0.170
T cell receptor and co-stimulatory signaling	0	27	45	0.00%	-0.50	0.307
16p11.2 distal deletion syndrome	0	28	46	0.00%	-0.51	0.309
Eicosanoid metabolism via lipooxygenases (LOX)	0	28	70	0.00%	-0.51	0.990
Ethanol effects on histone modifications	0	28	53	0.00%	-0.51	0.637
Histone modifications	0	28	68	0.00%	-0.51	0.985
Interactions between immune cells and microRNAs in tumor microenvironment	0	28	52	0.00%	-0.51	0.560
Mitochondrial immune response to SARS-CoV-2	0	28	63	0.00%	-0.51	0.937
Nanoparticle-mediated activation of receptor signaling	0	28	36	0.00%	-0.51	0.192
PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	0	28	33	0.00%	-0.51	0.157
Toll-like receptor signaling related to MyD88	0	28	32	0.00%	-0.51	0.143
Base excision repair	0	29	32	0.00%	-0.52	0.158
Constitutive androstane receptor pathway	0	29	34	0.00%	-0.52	0.148
Disruption of postsynaptic signaling by CNV	0	29	35	0.00%	-0.52	0.159
Extracellular vesicle-mediated signaling in recipient cells	0	29	31	0.00%	-0.52	0.124
Initiation of transcription and translation elongation at the HIV-1 LTR	0	29	35	0.00%	-0.52	0.169
Regucalcin in proximal tubule epithelial kidney cells	0	29	68	0.00%	-0.52	0.971
Type I collagen synthesis in the context of osteogenesis imperfecta	0	29	36	0.00%	-0.52	0.175
Type I interferon induction and signaling during SARS-CoV-2 infection	0	29	45	0.00%	-0.52	0.251
CAMKK2 pathway	0	30	143	0.00%	-0.53	0.637
Cell migration and invasion through p75NTR	0	30	31	0.00%	-0.53	0.126
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling	0	30	43	0.00%	-0.53	0.212
GABA receptor signaling	0	30	57	0.00%	-0.53	0.636
Hair follicle development: organogenesis - part 2 of 3	0	30	36	0.00%	-0.53	0.179
Matrix metalloproteinases	0	30	31	0.00%	-0.53	0.120
Overview of interferons-mediated signaling pathway	0	30	38	0.00%	-0.53	0.162
Target of rapamycin signaling	0	30	40	0.00%	-0.53	0.202
Tryptophan metabolism	0	30	123	0.00%	-0.53	0.757
Endothelin pathways	0	31	48	0.00%	-0.54	0.249
Familial partial lipodystrophy	0	31	44	0.00%	-0.54	0.208
Fluoropyrimidine activity	0	31	58	0.00%	-0.54	0.580
Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)	0	31	42	0.00%	-0.54	0.189
Ovarian infertility	0	31	33	0.00%	-0.54	0.139
Pregnane X receptor pathway	0	31	35	0.00%	-0.54	0.162
Prion disease pathway	0	31	36	0.00%	-0.54	0.172
Purinergic signaling	0	31	96	0.00%	-0.54	0.998
SARS coronavirus and innate immunity	0	31	33	0.00%	-0.54	0.155
White fat cell differentiation	0	31	35	0.00%	-0.54	0.175
BDNF-TrkB signaling	0	32	38	0.00%	-0.55	0.164
Hedgehog signaling pathway	0	32	44	0.00%	-0.55	0.201
Inflammatory response pathway	0	32	34	0.00%	-0.55	0.167
Monoamine GPCRs	0	32	43	0.00%	-0.55	0.198
Nuclear receptors in lipid metabolism and toxicity	0	32	48	0.00%	-0.55	0.236
PI3K-Akt signaling pathway	2	314	359	0.64%	-0.55	0.671
Alpha 6 beta 4 signaling pathway	0	33	34	0.00%	-0.56	0.174
Fatty acid beta-oxidation	0	33	71	0.00%	-0.56	0.910
MAPK cascade	0	33	37	0.00%	-0.56	0.175
Oxidative phosphorylation	0	33	68	0.00%	-0.56	0.840
Parkinson's disease pathway	0	33	84	0.00%	-0.56	0.993
Vitamin A and carotenoid metabolism	0	33	65	0.00%	-0.56	0.726
Vitamin D-sensitive calcium signaling in depression	0	33	55	0.00%	-0.56	0.337
Wnt signaling in kidney disease	0	33	39	0.00%	-0.56	0.169
G13 signaling pathway	0	34	39	0.00%	-0.57	0.174
p38 MAPK signaling pathway	0	34	36	0.00%	-0.57	0.151
GPR143 in melanocytes and retinal pigment epithelium cells	0	35	51	0.00%	-0.57	0.224
Influence of laminopathies on Wnt signaling	0	35	45	0.00%	-0.57	0.189
Melatonin metabolism and effects	0	35	64	0.00%	-0.57	0.570
Amyotrophic lateral sclerosis (ALS)	0	36	56	0.00%	-0.58	0.268
mBDNF and proBDNF regulation of GABA neurotransmission	0	36	40	0.00%	-0.58	0.176
Neovascularisation processes	0	36	42	0.00%	-0.58	0.197
Kisspeptin/kisspeptin receptor system in the ovary	0	38	49	0.00%	-0.60	0.228
Microglia pathogen phagocytosis pathway	0	38	44	0.00%	-0.60	0.203
Striated muscle contraction pathway	0	38	39	0.00%	-0.60	0.167
Eukaryotic transcription initiation	0	39	42	0.00%	-0.61	0.170
Mitochondrial complex I assembly model OXPHOS system	0	39	61	0.00%	-0.61	0.292
Notch signaling	0	39	48	0.00%	-0.61	0.203
ATM signaling in development and disease 	0	40	49	0.00%	-0.61	0.224
Heart development	0	40	48	0.00%	-0.61	0.200
Metabolic reprogramming in colon cancer	0	40	80	0.00%	-0.61	0.794
Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway	0	40	77	0.00%	-0.61	0.694
Renin-angiotensin-aldosterone system (RAAS)	0	40	57	0.00%	-0.61	0.254
Common pathways underlying drug addiction	0	41	50	0.00%	-0.62	0.238
Envelope proteins and their potential roles in EDMD physiopathology	0	41	47	0.00%	-0.62	0.212
Glycogen synthesis and degradation	0	41	54	0.00%	-0.62	0.240
Inflammatory bowel disease signaling	0	41	47	0.00%	-0.62	0.203
Metabolic reprogramming in pancreatic cancer	0	41	107	0.00%	-0.62	0.854
Nephrotic syndrome	0	41	49	0.00%	-0.62	0.228
TNF-related weak inducer of apoptosis (TWEAK) signaling pathway	0	41	45	0.00%	-0.62	0.196
DNA replication	0	42	50	0.00%	-0.63	0.213
Fas ligand pathway and stress induction of heat shock proteins	0	42	48	0.00%	-0.63	0.217
Genes controlling nephrogenesis	0	42	45	0.00%	-0.63	0.219
Microtubule cytoskeleton regulation	0	42	47	0.00%	-0.63	0.203
Nucleotide excision repair	0	42	44	0.00%	-0.63	0.237
Splicing factor NOVA regulated synaptic proteins	0	42	44	0.00%	-0.63	0.191
Cardiac progenitor differentiation	0	43	56	0.00%	-0.64	0.235
Interleukin-11 signaling pathway	0	43	45	0.00%	-0.64	0.214
Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms	0	43	47	0.00%	-0.64	0.209
Phosphoinositides metabolism	0	43	89	0.00%	-0.64	0.892
Rett syndrome causing genes	0	43	54	0.00%	-0.64	0.238
3q29 copy number variation syndrome	0	44	115	0.00%	-0.64	0.728
Energy metabolism	0	44	49	0.00%	-0.64	0.211
Synaptic signaling pathways associated with autism spectrum disorder	0	44	55	0.00%	-0.64	0.236
Pluripotent stem cell differentiation pathway	0	45	64	0.00%	-0.65	0.288
Synaptic vesicle pathway	0	45	59	0.00%	-0.65	0.245
Translation inhibitors in chronically activated PDGFRA cells	0	45	49	0.00%	-0.65	0.235
Cholesterol metabolism with Bloch and Kandutsch-Russell pathways	0	46	97	0.00%	-0.66	0.854
Copper homeostasis	0	46	58	0.00%	-0.66	0.262
Netrin-UNC5B signaling pathway	0	46	53	0.00%	-0.66	0.231
One-carbon metabolism and related pathways	0	46	94	0.00%	-0.66	0.846
Phosphodiesterases in neuronal function	0	46	66	0.00%	-0.66	0.260
Proximal tubule transport	0	49	86	0.00%	-0.68	0.480
Translation factors	0	49	51	0.00%	-0.68	0.239
Wnt signaling pathway	0	49	52	0.00%	-0.68	0.203
NRP1-triggered signaling pathways in pancreatic cancer 	0	51	59	0.00%	-0.69	0.236
Cardiac hypertrophic response	0	52	61	0.00%	-0.70	0.248
DYRK1A	0	52	66	0.00%	-0.70	0.283
Interferon type I signaling pathways	0	52	57	0.00%	-0.70	0.266
Neurogenesis regulation in the olfactory epithelium	0	52	72	0.00%	-0.70	0.309
Nucleotide excision repair in xeroderma pigmentosum 	0	52	62	0.00%	-0.70	0.299
DNA IR-double strand breaks and cellular response via ATM	0	53	65	0.00%	-0.71	0.291
Pathogenic Escherichia coli infection	0	53	79	0.00%	-0.71	0.336
Development of ureteric collection system	0	54	63	0.00%	-0.71	0.273
Oxidation by cytochrome P450	0	54	75	0.00%	-0.71	0.307
Bardet-Biedl syndrome	0	56	96	0.00%	-0.73	0.352
Pathways affected in adenoid cystic carcinoma	0	56	72	0.00%	-0.73	0.291
Joubert syndrome	0	58	87	0.00%	-0.74	0.330
Ferroptosis	0	60	106	0.00%	-0.75	0.271
Proteasome degradation	0	60	67	0.00%	-0.75	0.262
Endochondral ossification with skeletal dysplasias	0	61	69	0.00%	-0.76	0.301
Endochondral ossification	0	61	69	0.00%	-0.76	0.301
PPAR signaling pathway	0	63	76	0.00%	-0.77	0.329
Genes related to primary cilium development (based on CRISPR)	0	64	104	0.00%	-0.78	0.158
Prader-Willi and Angelman syndrome	0	64	93	0.00%	-0.78	0.231
16p11.2 proximal deletion syndrome	0	65	152	0.00%	-0.78	0.642
AGE/RAGE pathway	0	65	67	0.00%	-0.78	0.274
Sterol regulatory element-binding proteins (SREBP) signaling	0	65	77	0.00%	-0.78	0.289
Parkin-ubiquitin proteasomal system pathway	0	66	75	0.00%	-0.79	0.338
Trans-sulfuration, one-carbon metabolism and related pathways	0	66	132	0.00%	-0.79	0.553
Electron transport chain: OXPHOS system in mitochondria	0	67	119	0.00%	-0.80	0.240
MECP2 and associated Rett syndrome	0	67	114	0.00%	-0.80	0.159
RAC1/PAK1/p38/MMP2 pathway	0	67	74	0.00%	-0.80	0.323
Arrhythmogenic right ventricular cardiomyopathy	0	69	81	0.00%	-0.81	0.317
Pyrimidine metabolism	0	71	140	0.00%	-0.82	0.485
Clock-controlled autophagy in bone metabolism	0	74	83	0.00%	-0.84	0.274
Peptide GPCRs	0	74	79	0.00%	-0.84	0.275
DNA IR-damage and cellular response via ATR	0	75	90	0.00%	-0.84	0.206
ncRNAs involved in Wnt signaling in hepatocellular carcinoma	0	76	96	0.00%	-0.85	0.133
Amino acid metabolism	0	78	205	0.00%	-0.86	0.604
Clear cell renal cell carcinoma pathways	0	78	92	0.00%	-0.86	0.151
7q11.23 copy number variation syndrome	0	81	149	0.00%	-0.88	0.341
MicroRNAs in cardiomyocyte hypertrophy	0	82	109	0.00%	-0.88	0.097
Apoptosis	0	83	88	0.00%	-0.89	0.153
EGFR tyrosine kinase inhibitor resistance	0	84	92	0.00%	-0.89	0.137
G protein signaling pathways	0	86	97	0.00%	-0.90	0.111
Cytoplasmic ribosomal proteins	0	87	89	0.00%	-0.91	0.135
Neural crest differentiation	0	87	102	0.00%	-0.91	0.092
Thyroid hormones production and peripheral downstream signaling effects	0	87	134	0.00%	-0.91	0.138
Wnt signaling pathway and pluripotency	0	91	106	0.00%	-0.93	0.107
Hippo signaling regulation pathways	0	93	104	0.00%	-0.94	0.091
B cell receptor signaling pathway	0	94	99	0.00%	-0.94	0.081
Integrin-mediated cell adhesion	0	94	102	0.00%	-0.94	0.108
Thermogenesis	0	97	140	0.00%	-0.96	0.138
Wnt signaling	0	100	121	0.00%	-0.97	0.120
Ciliopathies	0	103	184	0.00%	-0.99	0.315
22q11.2 copy number variation syndrome	0	106	225	0.00%	-1.00	0.396
DNA repair pathways, full network	0	107	125	0.00%	-1.01	0.142
Hippo-Merlin signaling dysregulation	0	107	121	0.00%	-1.01	0.128
Osteoblast differentiation and related diseases	0	107	119	0.00%	-1.01	0.132
Fragile X syndrome	0	112	133	0.00%	-1.03	0.129
Male infertility	0	116	150	0.00%	-1.05	0.171
mRNA processing	0	117	130	0.00%	-1.05	0.148
Mesodermal commitment pathway	0	122	154	0.00%	-1.08	0.173
Ectoderm differentiation	0	123	145	0.00%	-1.08	0.162
Angiopoietin-like protein 8 regulatory pathway	0	126	155	0.00%	-1.09	0.192
Ebola virus infection in host	0	127	141	0.00%	-1.10	0.174
Regulation of actin cytoskeleton	0	139	160	0.00%	-1.15	0.196
Epithelial to mesenchymal transition in colorectal cancer	0	141	163	0.00%	-1.16	0.205
Metapathway biotransformation Phase I and II	0	148	191	0.00%	-1.19	0.090
Ras signaling	0	162	192	0.00%	-1.24	0.076
Ciliary landscape	0	178	215	0.00%	-1.30	0.078
Focal adhesion	0	188	201	0.00%	-1.34	0.078
Amino acid conjugation	0	0	7	NaN%	NaN	0.000
Biochemical pathways: part I	0	0	471	NaN%	NaN	0.000
Blood clotting and drug effects	0	0	16	NaN%	NaN	0.000
Farnesyl to CoQ10 metabolism	0	0	13	NaN%	NaN	0.000
Liver steatosis adverse outcome pathway	0	0	46	NaN%	NaN	0.000
Metabolism overview	0	0	116	NaN%	NaN	0.000
Meta pathway lipodystrophy, dyslipidemia and hyperlipidemia	0	0	13	NaN%	NaN	0.000
Mitochondrial complex I inhibition leading to chemical-induced Fanconi syndrome	0	0	21	NaN%	NaN	0.000
Modified nucleosides derived from tRNA as urinary cancer markers	0	0	21	NaN%	NaN	0.000
Ophthalmate biosynthesis in hepatocytes	0	0	10	NaN%	NaN	0.000
Phosphatidylcholine catabolism	0	0	32	NaN%	NaN	0.000
Role of carnosine in muscle contraction	0	0	14	NaN%	NaN	0.000
