Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Bone morphogenic protein signaling and regulation	0	11	13	0.00%	-0.31	0.058
Inclusion body myositis	0	11	28	0.00%	-0.31	0.920
NAD metabolism, sirtuins and aging	0	11	16	0.00%	-0.31	0.141
Nucleotide GPCRs	0	11	15	0.00%	-0.31	0.110
RalA downstream regulated genes	0	11	13	0.00%	-0.31	0.051
Somatic sex determination	0	11	15	0.00%	-0.31	0.101
Vitamin D metabolism	0	11	22	0.00%	-0.31	0.612
Vitamin K metabolism and activation of dependent proteins	0	11	34	0.00%	-0.31	0.995
Aerobic glycolysis	0	12	35	0.00%	-0.32	0.987
Disorders of folate metabolism and transport	0	12	46	0.00%	-0.32	0.999
Disorders of fructose metabolism	0	12	47	0.00%	-0.32	0.999
EDA signaling in hair follicle development	0	12	15	0.00%	-0.32	0.084
Glycolysis in senescence	0	12	26	0.00%	-0.32	0.771
GPR40 pathway	0	12	20	0.00%	-0.32	0.269
Homologous recombination	0	12	14	0.00%	-0.32	0.069
Irinotecan pathway	0	12	18	0.00%	-0.32	0.183
Leukotriene metabolic pathway	0	12	51	0.00%	-0.32	0.999
Mevalonate arm of cholesterol biosynthesis pathway	0	12	56	0.00%	-0.32	0.999
Mitochondrial complex III assembly	0	12	19	0.00%	-0.32	0.210
Modulation of PI3K-Akt-mTOR signaling by bioactive sphingolipids	0	12	25	0.00%	-0.32	0.686
Nitric oxide metabolism in cystic fibrosis	0	12	25	0.00%	-0.32	0.717
Purine metabolism	0	12	94	0.00%	-0.32	0.999
Resolvin E1 and resolvin D1 signaling pathways promoting inflammation resolution	0	12	22	0.00%	-0.32	0.451
Retinol metabolism	0	12	38	0.00%	-0.32	0.998
Serotonin and anxiety-related events	0	12	16	0.00%	-0.32	0.095
Valproic acid pathway	0	12	36	0.00%	-0.32	0.994
2q21.1 copy number variation syndrome	0	13	53	0.00%	-0.34	0.999
Biomarkers for pyrimidine metabolism disorders	0	13	88	0.00%	-0.34	0.999
BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation	0	13	16	0.00%	-0.34	0.083
Cell-type dependent selectivity of CCK2R signaling	0	13	26	0.00%	-0.34	0.607
Cell differentiation - index	0	13	61	0.00%	-0.34	0.999
Control of immune tolerance by vasoactive intestinal peptide	0	13	16	0.00%	-0.34	0.079
Development of pulmonary dendritic cells and macrophage subsets	0	13	14	0.00%	-0.34	0.054
Disorders of galactose metabolism 	0	13	37	0.00%	-0.34	0.983
Dopamine metabolism	0	13	48	0.00%	-0.34	0.999
Familial hyperlipidemia type 2	0	13	36	0.00%	-0.34	0.975
Familial hyperlipidemia type 3	0	13	24	0.00%	-0.34	0.464
Familial hyperlipidemia type 5	0	13	28	0.00%	-0.34	0.752
H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity	0	13	17	0.00%	-0.34	0.092
Mammary gland development pathway - Puberty (Stage 2 of 4)	0	13	15	0.00%	-0.34	0.079
NAD+ metabolism	0	13	34	0.00%	-0.34	0.955
Omega-9 fatty acid synthesis	0	13	44	0.00%	-0.34	0.999
Osteopontin signaling	0	13	14	0.00%	-0.34	0.065
OSX and miRNAs in tooth development	0	13	39	0.00%	-0.34	0.988
Proteoglycan biosynthesis	0	13	36	0.00%	-0.34	0.981
Transcriptional cascade regulating adipogenesis	0	13	14	0.00%	-0.34	0.072
15q13.3 copy number variation syndrome	0	14	40	0.00%	-0.35	0.991
Cancer immunotherapy by CTLA4 blockade	0	14	21	0.00%	-0.35	0.162
Codeine and morphine metabolism	0	14	25	0.00%	-0.35	0.401
Fatty acid omega-oxidation	0	14	20	0.00%	-0.35	0.128
Interactome of polycomb repressive complex 2 (PRC2) 	0	14	17	0.00%	-0.35	0.066
Kennedy pathway from sphingolipids	0	14	35	0.00%	-0.35	0.932
Major receptors targeted by epinephrine and norepinephrine	0	14	34	0.00%	-0.35	0.926
miR-509-3p alteration of YAP1/ECM axis	0	14	19	0.00%	-0.35	0.090
NOTCH1 regulation of endothelial cell calcification	0	14	18	0.00%	-0.35	0.081
Osteoblast signaling	0	14	18	0.00%	-0.35	0.093
Regulation of sister chromatid separation at the metaphase-anaphase transition	0	14	16	0.00%	-0.35	0.073
Riboflavin and CoQ disorders	0	14	59	0.00%	-0.35	0.999
Sulfation biotransformation reaction	0	14	29	0.00%	-0.35	0.686
Transcriptional activation by NRF2 in response to phytochemicals	0	14	20	0.00%	-0.35	0.133
Airway smooth muscle cell contraction	0	15	25	0.00%	-0.36	0.294
Alternative pathway of fetal androgen synthesis	0	15	48	0.00%	-0.36	0.997
Biogenic amine synthesis	0	15	33	0.00%	-0.36	0.828
Cholesterol biosynthesis pathway	0	15	32	0.00%	-0.36	0.793
Drug induction of bile acid pathway	0	15	45	0.00%	-0.36	0.991
ERK pathway in Huntington's disease	0	15	17	0.00%	-0.36	0.083
Familial  hyperlipidemia type 1	0	15	35	0.00%	-0.36	0.878
Ganglio sphingolipid metabolism	0	15	56	0.00%	-0.36	0.999
GPCRs, class B secretin-like	0	15	24	0.00%	-0.36	0.217
GPCRs, class C metabotropic glutamate, pheromone	0	15	15	0.00%	-0.36	0.069
Omega-3 / omega-6 fatty acid synthesis	0	15	55	0.00%	-0.36	0.999
Pathways of nucleic acid metabolism and innate immune sensing	0	15	39	0.00%	-0.36	0.975
Pyrimidine metabolism and related diseases	0	15	97	0.00%	-0.36	0.999
Transcription co-factors SKI and SKIL protein partners	0	15	19	0.00%	-0.36	0.108
Canonical and non-canonical TGF-B signaling	0	16	18	0.00%	-0.38	0.089
Congenital generalized lipodystrophy	0	16	31	0.00%	-0.38	0.612
Degradation pathway of sphingolipids, including diseases	0	16	47	0.00%	-0.38	0.995
Estrogen metabolism	0	16	45	0.00%	-0.38	0.992
Farnesoid X receptor pathway	0	16	21	0.00%	-0.38	0.117
Fatty acid transporters	0	16	28	0.00%	-0.38	0.405
Genes associated with the development of rheumatoid arthritis	0	16	22	0.00%	-0.38	0.109
ID signaling pathway	0	16	17	0.00%	-0.38	0.080
Interactions between LOXL4 and oxidative stress pathway	0	16	19	0.00%	-0.38	0.090
Metabolism of spingolipids in ER and Golgi apparatus	0	16	72	0.00%	-0.38	0.999
miRNAs involved in DNA damage response	0	16	70	0.00%	-0.38	0.999
nsp1 from SARS-CoV-2 inhibits translation initiation in the host cell	0	16	21	0.00%	-0.38	0.097
Osteoclast signaling	0	16	21	0.00%	-0.38	0.109
Regulation of Wnt / B-catenin signaling by small molecule compounds	0	16	33	0.00%	-0.38	0.734
Serotonin and anxiety	0	16	22	0.00%	-0.38	0.118
SREBF and miR33 in cholesterol and lipid homeostasis	0	16	19	0.00%	-0.38	0.077
TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc)	0	16	37	0.00%	-0.38	0.875
ACE inhibitor pathway	0	17	29	0.00%	-0.39	0.349
Amplification and expansion of oncogenic pathways as metastatic traits	0	17	18	0.00%	-0.39	0.075
Cori cycle	0	17	53	0.00%	-0.39	0.998
Glycosaminoglycan degradation	0	17	45	0.00%	-0.39	0.986
Host-pathogen interaction of human coronaviruses - autophagy	0	17	23	0.00%	-0.39	0.130
IL-9 signaling pathway	0	17	18	0.00%	-0.39	0.088
Leptin-insulin signaling overlap	0	17	20	0.00%	-0.39	0.093
MAP3K1 role in promoting and blocking gonadal determination	0	17	18	0.00%	-0.39	0.079
Mitochondrial long chain fatty acid beta-oxidation	0	17	24	0.00%	-0.39	0.146
Synthesis of ceramides and 1-deoxyceramides	0	17	50	0.00%	-0.39	0.998
TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition	0	17	20	0.00%	-0.39	0.091
Triacylglyceride synthesis	0	17	37	0.00%	-0.39	0.813
4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression	0	18	31	0.00%	-0.40	0.337
Cholestasis	0	18	35	0.00%	-0.40	0.628
Cholesterol synthesis disorders	0	18	53	0.00%	-0.40	0.998
Disorders of bile acid synthesis and biliary transport	0	18	112	0.00%	-0.40	0.998
Familial hyperlipidemia type 4	0	18	36	0.00%	-0.40	0.663
Glutathione metabolism	0	18	57	0.00%	-0.40	0.999
Glycerolipids and glycerophospholipids	0	18	52	0.00%	-0.40	0.992
Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells	0	18	19	0.00%	-0.40	0.095
Metabolic pathway of LDL, HDL and TG, including diseases	0	18	34	0.00%	-0.40	0.526
Mitochondrial gene expression	0	18	23	0.00%	-0.40	0.120
Nicotine effect on dopaminergic neurons	0	18	31	0.00%	-0.40	0.331
Small ligand GPCRs	0	18	25	0.00%	-0.40	0.127
Sphingolipid metabolism: integrated pathway	0	18	100	0.00%	-0.40	0.999
Sphingolipid metabolism overview	0	18	55	0.00%	-0.40	0.998
TCA cycle (aka Krebs or citric acid cycle)	0	18	49	0.00%	-0.40	0.991
Apoptosis modulation by HSP70	0	19	22	0.00%	-0.41	0.098
Cell differentiation - expanded index	0	19	69	0.00%	-0.41	0.999
Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism	0	19	73	0.00%	-0.41	0.999
FOXA2 pathway	0	19	23	0.00%	-0.41	0.117
Intraflagellar transport proteins binding to dynein	0	19	28	0.00%	-0.41	0.154
Kallmann syndrome	0	19	41	0.00%	-0.41	0.798
Methionine de novo and salvage pathway	0	19	73	0.00%	-0.41	0.999
NAD+ biosynthetic pathways	0	19	37	0.00%	-0.41	0.615
Serotonin receptor 4/6/7 and NR3C signaling	0	19	22	0.00%	-0.41	0.117
TP53 network	0	19	23	0.00%	-0.41	0.112
Urea cycle and metabolism of amino groups	0	19	71	0.00%	-0.41	0.999
FGF23 signaling in hypophosphatemic rickets and related disorders	0	20	28	0.00%	-0.42	0.144
Hematopoietic stem cell gene regulation by GABP alpha/beta complex	0	20	26	0.00%	-0.42	0.123
Hippo-Yap signaling pathway	0	20	24	0.00%	-0.42	0.100
Leucine, isoleucine and valine metabolism	0	20	123	0.00%	-0.42	0.986
Nanomaterial induced apoptosis	0	20	31	0.00%	-0.42	0.209
Purine metabolism and related disorders	0	20	139	0.00%	-0.42	0.819
Serotonin receptor 2 and ELK-SRF/GATA4 signaling	0	20	24	0.00%	-0.42	0.104
Tamoxifen metabolism	0	20	37	0.00%	-0.42	0.523
Complement activation	0	21	24	0.00%	-0.43	0.112
Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome	0	21	30	0.00%	-0.43	0.160
Fatty acid biosynthesis	0	21	43	0.00%	-0.43	0.738
Gastric cancer network 1	0	21	30	0.00%	-0.43	0.142
Imatinib and chronic myeloid leukemia	0	21	25	0.00%	-0.43	0.113
miRNA regulation of p53 pathway in prostate cancer	0	21	37	0.00%	-0.43	0.415
miRNA targets in ECM and membrane receptors	0	21	46	0.00%	-0.43	0.865
Nanoparticle triggered autophagic cell death	0	21	30	0.00%	-0.43	0.160
NRF2-ARE regulation	0	21	24	0.00%	-0.43	0.118
Blood clotting cascade	0	22	27	0.00%	-0.44	0.106
Differentiation of white and brown adipocyte	0	22	26	0.00%	-0.44	0.128
DNA mismatch repair	0	22	25	0.00%	-0.44	0.108
GDNF/RET signaling axis	0	22	24	0.00%	-0.44	0.120
Glucuronidation	0	22	41	0.00%	-0.44	0.549
Glycosylation and related congenital defects	0	22	73	0.00%	-0.44	0.999
Mammalian disorder of sexual development	0	22	29	0.00%	-0.44	0.137
Mitochondrial complex IV assembly	0	22	40	0.00%	-0.44	0.480
MTHFR deficiency	0	22	60	0.00%	-0.44	0.994
PI3K/AKT/mTOR - vitamin D3 signaling	0	22	34	0.00%	-0.44	0.204
PKC-gamma calcium signaling pathway in ataxia	0	22	29	0.00%	-0.44	0.141
1q21.1 copy number variation syndrome	0	23	58	0.00%	-0.45	0.985
7-oxo-C and 7-beta-HC pathways	0	23	60	0.00%	-0.45	0.993
Alstrom syndrome	0	23	34	0.00%	-0.45	0.173
Glycerophospholipid biosynthetic pathway	0	23	108	0.00%	-0.45	0.999
Hypothesized pathways in pathogenesis of cardiovascular disease	0	23	27	0.00%	-0.45	0.130
Immune response to tuberculosis	0	23	24	0.00%	-0.45	0.107
PPAR-alpha pathway	0	23	28	0.00%	-0.45	0.108
Progeria-associated lipodystrophy	0	23	36	0.00%	-0.45	0.246
Sphingolipid pathway	0	23	63	0.00%	-0.45	0.992
Urea cycle and associated pathways	0	23	81	0.00%	-0.45	0.999
PI3K-Akt signaling pathway	2	314	359	0.64%	-0.45	0.737
Angiogenesis	0	24	25	0.00%	-0.46	0.110
Canonical and non-canonical Notch signaling	0	24	31	0.00%	-0.46	0.138
Intracellular trafficking proteins involved in CMT neuropathy	0	24	28	0.00%	-0.46	0.135
S1P receptor signal transduction	0	24	26	0.00%	-0.46	0.135
Wnt/beta-catenin signaling pathway in leukemia	0	24	29	0.00%	-0.46	0.133
Zinc homeostasis	0	24	39	0.00%	-0.46	0.248
Gastric cancer network 2	0	25	33	0.00%	-0.47	0.137
IL-7 signaling pathway	0	25	26	0.00%	-0.47	0.124
Thyroxine (thyroid hormone) production	0	25	39	0.00%	-0.47	0.227
Angiotensin II receptor type 1 pathway	0	26	37	0.00%	-0.48	0.169
Cohesin complex - Cornelia de Lange syndrome	0	26	37	0.00%	-0.48	0.180
EPO receptor signaling	0	26	27	0.00%	-0.48	0.128
Follicle stimulating hormone (FSH) signaling pathway	0	26	28	0.00%	-0.48	0.128
Hippocampal synaptogenesis and neurogenesis	0	26	41	0.00%	-0.48	0.242
One-carbon metabolism	0	26	58	0.00%	-0.48	0.913
Statin inhibition of cholesterol production	0	26	50	0.00%	-0.48	0.626
Autophagy	0	27	33	0.00%	-0.49	0.150
Cannabinoid receptor signaling	0	27	54	0.00%	-0.49	0.729
FGFR3 signaling in chondrocyte proliferation and terminal differentiation	0	27	29	0.00%	-0.49	0.128
Genetic causes of PSVD/INCPH	0	27	61	0.00%	-0.49	0.916
IL-17 signaling pathway	0	27	33	0.00%	-0.49	0.153
Leukocyte-intrinsic Hippo pathway functions	0	27	37	0.00%	-0.49	0.178
Lipid metabolism pathway	0	27	43	0.00%	-0.49	0.253
Sphingolipid metabolism in senescence	0	27	49	0.00%	-0.49	0.488
Tumor suppressor activity of SMARCB1	0	27	35	0.00%	-0.49	0.158
16p11.2 distal deletion syndrome	0	28	46	0.00%	-0.50	0.313
Dopaminergic neurogenesis	0	28	32	0.00%	-0.50	0.151
Eicosanoid metabolism via lipooxygenases (LOX)	0	28	70	0.00%	-0.50	0.987
Ethanol effects on histone modifications	0	28	53	0.00%	-0.50	0.607
Histone modifications	0	28	68	0.00%	-0.50	0.979
Interactions between immune cells and microRNAs in tumor microenvironment	0	28	52	0.00%	-0.50	0.570
Mitochondrial immune response to SARS-CoV-2	0	28	63	0.00%	-0.50	0.918
Nanoparticle-mediated activation of receptor signaling	0	28	36	0.00%	-0.50	0.149
PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	0	28	33	0.00%	-0.50	0.151
Toll-like receptor signaling related to MyD88	0	28	32	0.00%	-0.50	0.131
Base excision repair	0	29	32	0.00%	-0.51	0.138
Constitutive androstane receptor pathway	0	29	34	0.00%	-0.51	0.139
Disruption of postsynaptic signaling by CNV	0	29	35	0.00%	-0.51	0.152
Extracellular vesicle-mediated signaling in recipient cells	0	29	31	0.00%	-0.51	0.130
Regucalcin in proximal tubule epithelial kidney cells	0	29	68	0.00%	-0.51	0.963
Selective expression of chemokine receptors during T-cell polarization	0	29	30	0.00%	-0.51	0.121
Type I collagen synthesis in the context of osteogenesis imperfecta	0	29	36	0.00%	-0.51	0.168
Type I interferon induction and signaling during SARS-CoV-2 infection	0	29	45	0.00%	-0.51	0.223
CAMKK2 pathway	0	30	143	0.00%	-0.51	0.683
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling	0	30	43	0.00%	-0.51	0.212
GABA receptor signaling	0	30	57	0.00%	-0.51	0.611
Hair follicle development: organogenesis - part 2 of 3	0	30	36	0.00%	-0.51	0.155
Overview of interferons-mediated signaling pathway	0	30	38	0.00%	-0.51	0.159
Target of rapamycin signaling	0	30	40	0.00%	-0.51	0.161
Tryptophan metabolism	0	30	123	0.00%	-0.51	0.926
Endothelin pathways	0	31	48	0.00%	-0.52	0.251
Familial partial lipodystrophy	0	31	44	0.00%	-0.52	0.222
Fluoropyrimidine activity	0	31	58	0.00%	-0.52	0.583
Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)	0	31	42	0.00%	-0.52	0.192
Ovarian infertility	0	31	33	0.00%	-0.52	0.157
Pregnane X receptor pathway	0	31	35	0.00%	-0.52	0.157
Prion disease pathway	0	31	36	0.00%	-0.52	0.157
Purinergic signaling	0	31	96	0.00%	-0.52	0.999
SARS coronavirus and innate immunity	0	31	33	0.00%	-0.52	0.131
Type 2 papillary renal cell carcinoma	0	31	41	0.00%	-0.52	0.182
White fat cell differentiation	0	31	35	0.00%	-0.52	0.174
BDNF-TrkB signaling	0	32	38	0.00%	-0.53	0.184
Hedgehog signaling pathway	0	32	44	0.00%	-0.53	0.189
Inflammatory response pathway	0	32	34	0.00%	-0.53	0.144
Monoamine GPCRs	0	32	43	0.00%	-0.53	0.174
Nuclear receptors in lipid metabolism and toxicity	0	32	48	0.00%	-0.53	0.244
Oxidative stress response	0	32	35	0.00%	-0.53	0.153
Alpha 6 beta 4 signaling pathway	0	33	34	0.00%	-0.54	0.146
Fatty acid beta-oxidation	0	33	71	0.00%	-0.54	0.905
Oxidative phosphorylation	0	33	68	0.00%	-0.54	0.826
Parkinson's disease pathway	0	33	84	0.00%	-0.54	0.993
Serotonin HTR1 group and FOS pathway	0	33	39	0.00%	-0.54	0.175
Vitamin A and carotenoid metabolism	0	33	65	0.00%	-0.54	0.725
Vitamin D-sensitive calcium signaling in depression	0	33	55	0.00%	-0.54	0.348
Wnt signaling in kidney disease	0	33	39	0.00%	-0.54	0.178
G13 signaling pathway	0	34	39	0.00%	-0.55	0.158
p38 MAPK signaling pathway	0	34	36	0.00%	-0.55	0.140
GPR143 in melanocytes and retinal pigment epithelium cells	0	35	51	0.00%	-0.56	0.237
Influence of laminopathies on Wnt signaling	0	35	45	0.00%	-0.56	0.190
Melatonin metabolism and effects	0	35	64	0.00%	-0.56	0.531
CCL18 signaling pathway	0	36	177	0.00%	-0.56	0.626
mBDNF and proBDNF regulation of GABA neurotransmission	0	36	40	0.00%	-0.56	0.179
Neovascularisation processes	0	36	42	0.00%	-0.56	0.156
Kisspeptin/kisspeptin receptor system in the ovary	0	38	49	0.00%	-0.58	0.220
Microglia pathogen phagocytosis pathway	0	38	44	0.00%	-0.58	0.190
Nuclear receptors	0	38	44	0.00%	-0.58	0.187
Striated muscle contraction pathway	0	38	39	0.00%	-0.58	0.178
Eukaryotic transcription initiation	0	39	42	0.00%	-0.59	0.155
Mitochondrial complex I assembly model OXPHOS system	0	39	61	0.00%	-0.59	0.263
Notch signaling	0	39	48	0.00%	-0.59	0.208
ATM signaling in development and disease 	0	40	49	0.00%	-0.59	0.186
Bladder cancer	0	40	47	0.00%	-0.59	0.194
Heart development	0	40	48	0.00%	-0.59	0.204
Metabolic reprogramming in colon cancer	0	40	80	0.00%	-0.59	0.779
Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway	0	40	77	0.00%	-0.59	0.681
Renin-angiotensin-aldosterone system (RAAS)	0	40	57	0.00%	-0.59	0.221
Common pathways underlying drug addiction	0	41	50	0.00%	-0.60	0.223
Envelope proteins and their potential roles in EDMD physiopathology	0	41	47	0.00%	-0.60	0.179
Glycogen synthesis and degradation	0	41	54	0.00%	-0.60	0.213
Metabolic reprogramming in pancreatic cancer	0	41	107	0.00%	-0.60	0.948
Nephrotic syndrome	0	41	49	0.00%	-0.60	0.200
DNA replication	0	42	50	0.00%	-0.61	0.203
Genes controlling nephrogenesis	0	42	45	0.00%	-0.61	0.181
Microtubule cytoskeleton regulation	0	42	47	0.00%	-0.61	0.192
Nucleotide excision repair	0	42	44	0.00%	-0.61	0.194
Splicing factor NOVA regulated synaptic proteins	0	42	44	0.00%	-0.61	0.197
Cardiac progenitor differentiation	0	43	56	0.00%	-0.62	0.212
Integrated cancer pathway	0	43	50	0.00%	-0.62	0.205
Interleukin-11 signaling pathway	0	43	45	0.00%	-0.62	0.191
Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms	0	43	47	0.00%	-0.62	0.207
Phosphoinositides metabolism	0	43	89	0.00%	-0.62	0.880
Rett syndrome causing genes	0	43	54	0.00%	-0.62	0.251
Energy metabolism	0	44	49	0.00%	-0.62	0.228
Glycolysis and gluconeogenesis	0	44	69	0.00%	-0.62	0.332
Synaptic signaling pathways associated with autism spectrum disorder	0	44	55	0.00%	-0.62	0.225
Synaptic vesicle pathway	0	45	59	0.00%	-0.63	0.269
Translation inhibitors in chronically activated PDGFRA cells	0	45	49	0.00%	-0.63	0.227
Cholesterol metabolism with Bloch and Kandutsch-Russell pathways	0	46	97	0.00%	-0.64	0.921
Phosphodiesterases in neuronal function	0	46	66	0.00%	-0.64	0.278
Proximal tubule transport	0	49	86	0.00%	-0.66	0.455
Translation factors	0	49	51	0.00%	-0.66	0.206
Wnt signaling pathway	0	49	52	0.00%	-0.66	0.231
TYROBP causal network in microglia	0	50	61	0.00%	-0.66	0.257
NRP1-triggered signaling pathways in pancreatic cancer 	0	51	59	0.00%	-0.67	0.241
DYRK1A	0	52	66	0.00%	-0.68	0.272
Interferon type I signaling pathways	0	52	57	0.00%	-0.68	0.244
Neurogenesis regulation in the olfactory epithelium	0	52	72	0.00%	-0.68	0.284
Nucleotide excision repair in xeroderma pigmentosum 	0	52	62	0.00%	-0.68	0.260
DNA IR-double strand breaks and cellular response via ATM	0	53	65	0.00%	-0.68	0.291
Pathogenic Escherichia coli infection	0	53	79	0.00%	-0.68	0.330
Development of ureteric collection system	0	54	63	0.00%	-0.69	0.285
Notch signaling pathway	0	54	62	0.00%	-0.69	0.268
Oxidation by cytochrome P450	0	54	75	0.00%	-0.69	0.284
Overlap between signal transduction pathways contributing to LMNA laminopathies	0	55	73	0.00%	-0.70	0.297
Bardet-Biedl syndrome	0	56	96	0.00%	-0.70	0.432
Pathways affected in adenoid cystic carcinoma	0	56	72	0.00%	-0.70	0.298
Complement and coagulation cascades	0	57	63	0.00%	-0.71	0.250
Joubert syndrome	0	58	87	0.00%	-0.72	0.337
AMP-activated protein kinase signaling	0	59	78	0.00%	-0.72	0.332
Kit receptor signaling pathway	0	59	60	0.00%	-0.72	0.230
Ferroptosis	0	60	106	0.00%	-0.73	0.351
Proteasome degradation	0	60	67	0.00%	-0.73	0.277
Endochondral ossification with skeletal dysplasias	0	61	69	0.00%	-0.73	0.272
Endochondral ossification	0	61	69	0.00%	-0.73	0.272
Endometrial cancer	0	61	77	0.00%	-0.73	0.333
DNA damage response	0	62	78	0.00%	-0.74	0.308
PPAR signaling pathway	0	63	76	0.00%	-0.75	0.281
G1 to S cell cycle control	0	64	68	0.00%	-0.75	0.271
Genes related to primary cilium development (based on CRISPR)	0	64	104	0.00%	-0.75	0.228
Prader-Willi and Angelman syndrome	0	64	93	0.00%	-0.75	0.310
16p11.2 proximal deletion syndrome	0	65	152	0.00%	-0.76	0.637
Sterol regulatory element-binding proteins (SREBP) signaling	0	65	77	0.00%	-0.76	0.295
Melanoma	0	66	78	0.00%	-0.76	0.300
miRNA regulation of DNA damage response	0	66	106	0.00%	-0.76	0.219
Parkin-ubiquitin proteasomal system pathway	0	66	75	0.00%	-0.76	0.286
Electron transport chain: OXPHOS system in mitochondria	0	67	119	0.00%	-0.77	0.265
MECP2 and associated Rett syndrome	0	67	114	0.00%	-0.77	0.207
Head and neck squamous cell carcinoma	0	68	81	0.00%	-0.78	0.332
Arrhythmogenic right ventricular cardiomyopathy	0	69	81	0.00%	-0.78	0.295
Non-small cell lung cancer	0	70	88	0.00%	-0.79	0.324
Primary focal segmental glomerulosclerosis (FSGS)	0	70	77	0.00%	-0.79	0.274
Pyrimidine metabolism	0	71	140	0.00%	-0.79	0.529
Regulatory circuits of the STAT3 signaling pathway	0	71	79	0.00%	-0.79	0.323
Peptide GPCRs	0	74	79	0.00%	-0.81	0.322
DNA IR-damage and cellular response via ATR	0	75	90	0.00%	-0.81	0.304
Amino acid metabolism	0	78	205	0.00%	-0.83	0.638
7q11.23 copy number variation syndrome	0	81	149	0.00%	-0.85	0.345
Glioblastoma signaling pathways	0	82	88	0.00%	-0.85	0.291
Retinoblastoma gene in cancer	0	84	98	0.00%	-0.86	0.143
G protein signaling pathways	0	86	97	0.00%	-0.87	0.150
Pancreatic adenocarcinoma pathway	0	86	97	0.00%	-0.87	0.178
Cytoplasmic ribosomal proteins	0	87	89	0.00%	-0.88	0.248
Neural crest differentiation	0	87	102	0.00%	-0.88	0.099
Thyroid hormones production and peripheral downstream signaling effects	0	87	134	0.00%	-0.88	0.123
Hippo signaling regulation pathways	0	93	104	0.00%	-0.91	0.093
Integrin-mediated cell adhesion	0	94	102	0.00%	-0.91	0.097
Thermogenesis	0	97	140	0.00%	-0.93	0.153
Complement system in neuronal development and plasticity	0	99	137	0.00%	-0.94	0.114
Focal adhesion: PI3K-Akt-mTOR-signaling pathway	1	282	305	0.35%	-0.95	0.428
Ciliopathies	0	103	184	0.00%	-0.96	0.313
22q11.2 copy number variation syndrome	0	106	225	0.00%	-0.97	0.495
DNA repair pathways, full network	0	107	125	0.00%	-0.97	0.130
Hippo-Merlin signaling dysregulation	0	107	121	0.00%	-0.97	0.101
Osteoblast differentiation and related diseases	0	107	119	0.00%	-0.97	0.119
Cell cycle	0	112	124	0.00%	-1.00	0.127
Fragile X syndrome	0	112	133	0.00%	-1.00	0.131
Endoderm differentiation	0	121	147	0.00%	-1.04	0.164
Mesodermal commitment pathway	0	122	154	0.00%	-1.04	0.155
Ectoderm differentiation	0	123	145	0.00%	-1.05	0.140
Ebola virus infection in host	0	127	141	0.00%	-1.06	0.139
Calcium regulation in cardiac cells	0	136	167	0.00%	-1.10	0.181
Regulation of actin cytoskeleton	0	139	160	0.00%	-1.11	0.173
Epithelial to mesenchymal transition in colorectal cancer	0	141	163	0.00%	-1.12	0.175
Metapathway biotransformation Phase I and II	0	148	191	0.00%	-1.15	0.151
Ras signaling	0	162	192	0.00%	-1.20	0.127
Ciliary landscape	0	178	215	0.00%	-1.26	0.071
Amino acid conjugation	0	0	7	NaN%	NaN	0.000
Biochemical pathways: part I	0	0	471	NaN%	NaN	0.000
Blood clotting and drug effects	0	0	16	NaN%	NaN	0.000
Farnesyl to CoQ10 metabolism	0	0	13	NaN%	NaN	0.000
Liver steatosis adverse outcome pathway	0	0	46	NaN%	NaN	0.000
Metabolism overview	0	0	116	NaN%	NaN	0.000
Meta pathway lipodystrophy, dyslipidemia and hyperlipidemia	0	0	13	NaN%	NaN	0.000
Mitochondrial complex I inhibition leading to chemical-induced Fanconi syndrome	0	0	21	NaN%	NaN	0.000
Modified nucleosides derived from tRNA as urinary cancer markers	0	0	21	NaN%	NaN	0.000
Ophthalmate biosynthesis in hepatocytes	0	0	10	NaN%	NaN	0.000
Phosphatidylcholine catabolism	0	0	32	NaN%	NaN	0.000
Role of carnosine in muscle contraction	0	0	14	NaN%	NaN	0.000
